dept_code;dept_name;muni_code;muni_name;muni_name;poblacion_2025;CEN/POP;VOTE DIF;AVEWIN;LANDSLIDE;area_km2;Pop/km2;mesas_total;censo_mujeres;censo_hombres;puestos;Personas/puesto;mesas_censo;mesas_escrutadas;Personas/mesa;DIF-MESAS;Elect/poblacion;censo_electoral;votantes;% votantes;votos_validos;votos_nulos;votos_blancos;cepeda;espriella;% blanco;% nulos;%cepeda;%espriella;SUM;DIF
50;GUAINIA;78;LA GUADALUPE;LA GUADALUPE;299;70,57 %;13;TRUE;FALSE;1.167;0;1;93;118;1;211;1;1;211;0;70,57 %;211;70;33,18 %;70;0;1;28;41;1,43 %;0,00 %;40,00 %;58,57 %;100,00 %;0
60;AMAZONAS;17;LA VICTORIA;LA VICTORIA;679;11,05 %;-32;FALSE;FALSE;276;2;1;32;43;1;75;1;1;75;0;11,05 %;75;32;42,67 %;32;0;0;32;0;0,00 %;0,00 %;100,00 %;0,00 %;100,00 %;0
60;AMAZONAS;30;PUERTO ALEGRIA;PUERTO ALEGRIA;791;36,54 %;-88;FALSE;FALSE;8.774;0;1;119;170;1;289;1;1;289;0;36,54 %;289;129;44,64 %;128;1;0;108;20;0,00 %;0,78 %;83,72 %;15,50 %;100,00 %;0
50;GUAINIA;73;CACAHUAL;CACAHUAL;912;29,06 %;-19;FALSE;FALSE;6.457;0;1;117;148;1;265;1;1;265;0;29,06 %;265;51;19,25 %;51;0;0;35;16;0,00 %;0,00 %;68,63 %;31,37 %;100,00 %;0
68;VAUPES;10;MORICHAL (PAPUNAGUA);MORICHAL (PAPUNAGUA);972;19,14 %;-58;FALSE;FALSE;8.563;0;2;75;111;2;93;2;2;93;0;19,14 %;186;102;54,84 %;102;0;0;80;22;0,00 %;0,00 %;78,43 %;21,57 %;100,00 %;0
60;AMAZONAS;40;PUERTO ARICA;PUERTO ARICA;1.070;50,00 %;-155;FALSE;FALSE;13.526;0;2;237;298;1;535;2;2;268;0;50,00 %;535;199;37,20 %;199;0;0;177;22;0,00 %;0,00 %;88,94 %;11,06 %;100,00 %;0
7;BOYACA;262;SATIVASUR;SATIVASUR;1.127;111,27 %;392;TRUE;TRUE;81;14;4;665;589;1;1.254;4;4;314;0;111,27 %;1.254;789;62,92 %;782;6;10;190;582;1,27 %;0,76 %;24,08 %;73,76 %;99,87 %;-1
7;BOYACA;137;LA VICTORIA;LA VICTORIA;1.139;139,24 %;476;TRUE;TRUE;276;4;6;718;868;3;529;6;6;264;0;139,24 %;1.586;902;56,87 %;895;6;11;204;680;1,22 %;0,67 %;22,62 %;75,39 %;99,89 %;-1
7;BOYACA;34;BUSBANZA;BUSBANZA;1.176;83,33 %;352;TRUE;TRUE;22;53;3;486;494;1;980;3;3;327;0;83,33 %;980;752;76,73 %;746;6;6;194;546;0,80 %;0,80 %;25,80 %;72,61 %;100,00 %;0
50;GUAINIA;83;MORICHAL (MORICHAL NUEVO);MORICHAL (MORICHAL NUEVO);1.192;19,97 %;-25;FALSE;FALSE;8.563;0;1;112;126;1;238;1;1;238;0;19,97 %;238;90;37,82 %;90;0;1;57;32;1,11 %;0,00 %;63,33 %;35,56 %;100,00 %;0
